Rows,ID,Description
2,0,"Land, abyssal stones from deep root 1, and volcanic mansion 1."
5,3,Village ravine 1 mine and Lucaria's Raya Academy 1.
8,6,Characters
11,9,Varre and Yuria (NPC) in Limgrave.
12,10,Turtle in Limgrave.
13,11,Godrick's soldiers.
14,12,"Alexander (NPC), bears around the capital, giant wolves from Carian Mansion, Godrick's cavalry, and Two Fingers Old Woman (NPC)."
15,13,Stone giants and Liurnia's turtle (NPC).
16,14,"Caelid's giant pot, Limgrave's dragon, and Rykard's head."
17,15,Mausoleum (turtle).
29,27,Skulls in Liurnia's mausoleum.
37,35,Bushes in Turvaguas caves and Limgrave's lake.
47,45,Sturdy cliff stones and Caelid 1 stones.
48,46,Stones in Tears Peninsula and Sharp Stones of Gelmir Mountain/Plato Altus.
51,49,Carriage in Plato Altus and Mausoleum Gate (turtle) of Giant's Mountain.
52,50,"Broken bridge floor of Raya Lucaria Academy, Limgrave's stone road, Ordina's staircase, and dead tree of Giant's Mountain."
53,51,"Carriage in Liurnia/Limgrave, debris in Manus Celes Cathedral, giant tombstone in Tears Peninsula, scaffolding in Caelid 1, platform in Albinauric Village, and Bellum Road obelisks."
54,52,"Caelid 2 stones, Cariana Mansion 1, Morne Castle 1, dead tree in Tears Peninsula, portal to Dectus's elevator 1, and dead tree in Caelid."
55,53,"Various objects, Castle Sol scaffolding, Beast Sanctuary guardrail, coffins in Limgrave, Cariana Mansion 2, and Morne Castle trees."
56,54,"Bushes with large leaves, items, and a chest in Uhl Dynasty's remains."
58,56,Beast Sanctuary gate and abominations in Caelid.
59,57,Body in drifting cemetery.
62,60,Moss from Crystal Cave.
66,64,Balloon in Liurnia.
67,65,Sharp cliff stones and Gelmir Mountain base stones.
68,66,Marika's statue in Tears Peninsula and Radagon's statue in Liurnia.
70,68,Small stones from Plato Altus.
71,69,Medium stones from Plato Altus.
74,72,Portal effect to Raya Lucaria Academy.
75,73,Consecrated snowfield stones and Plato Altus 1 stones.
76,74,Giant's Mountain 1 stones and Plato Altus 2 stones.
79,77,Ruins foliage in Tears Peninsula.
81,79,Mini Marika statue in Ainsel River.
82,80,Stone railing in Caelid.
83,81,Crucifixes in Tears Peninsula.
89,87,Golden Seed tree in Liurnia.
90,88,Soldiers' bodies in Liurnia.
93,100,"Manus Celes Cathedral, the four belfries, buildings in Limgrave/Caelid/Liurnia/Plato Altus from afar, and the smaller Tervore Church from afar."
94,101,"Limgrave gate, Gelmir Mountain broken bridge, ruins in consecrated snowfield, Elleh's church, Ranni's tower, and Farum Azula's ruin pieces in Limgrave up close."
96,103,Village land of Raya Lucaria and giant statue at the entrance of the tomb of the giant conqueror hero.
98,105,Carian Study Hall/Beast Sanctuary from afar.
99,106,Carian Study Hall/Dragon Bridge in Caelid/Beast Sanctuary up close.
100,107,Bridge to the Redmane Castle from afar.
101,108,"Bridge to the Redmane Castle up close, Beast Sanctuary totems, bushes on the Dragon Bridge in Caelid, and Beast Sanctuary interior."
103,110,Horse statues in Liurnia up close.
104,111,Volcanic Mansion from afar.
107,114,Volcanic Mansion up close.
108,115,Raya Lucaria Academy from afar.
109,116,Raya Lucaria Academy up close.
110,117,Access to Raya Lucaria Academy from afar.
111,118,Access to Raya Lucaria Academy up close 1.
